ID,Name,LinkedIn URL,Locations,Location Phones,HQ Location,HQ Location Phones,Technologies,Industries,Company type,Website,Domain,Headcount,Company description,Revenue,Intent data,shopify
4811c440-bdd5-30d5-a2a4-777da5e72ba5,Modehaus Streit Ettlingen,https://www.linkedin.com/company/modestreit,"[Germany, Baden-württemberg, Ettlingen, 1-3 Marktstr., 76275]",,"Germany, Baden-württemberg, Ettlingen, 1-3 Marktstr., 76275",,"Shopify, WP Rocket, PHP, WPMU DEV Smush, Contact Form 7, Lodash, Bootstrap, Swiper, SendinBlue, Google Font API, MasterCard, Open Graph, PushOwl Web Push Notifications, Apache HTTP Server, prettyPhoto, Flickity, Apple Pay, PayPal, RSS, Facebook Pixel, ZURB Foundation, Facebook, PushOwl, X-Content-Type-Options, WordPress, Shop Pay, Priority Hints, American Express, X-XSS-Protection, Hotjar, VISA, Underscore.js, MySQL, HTTP/3, HSTS, Lightbox, jQuery Migrate, OWL Carousel, Borlabs Cookie, Google Pay, Cart Functionality, jQuery, Yoast SEO, GSAP, Apache, PWA, WPBakery, reCAPTCHA, Google Tag Manager, WooCommerce, CloudFlare, Google Analytics, Font Awesome",Apparel & Fashion,Partnership,modestreit.de,modestreit.de,3,"Modehaus Streit, dieses Fachgeschäft steht für anspruchsvolle und aktuelle Damen- und Herrenmode, dekorative Heimtextilien, Tag- und Nachtwäsche für Frauen, Herren und Kinder, Badebekleidung für Sie und Ihn, Knöpfe und Kurzwaren, Socken und Strümpfe sowie traumhafte Bettwäsche, Tischläufer und Wohn- und Heimdecken. Einziehdecken, Kopf- und Nackenstützkissen, Frottierwaren und Homewear-Bekleidung runden das reichhaltige Angebot ab. Wenn nötig ändern wir in unserer eigenen Hausschneiderei Ihr gekauftes Lieblingsteil zum Selbstkostenpreis ab. Des Weiteren bieten wir einen Reparaturservice für sämtliche Nähmaschinen an. Profitieren Sie von unserem umfangreichen Serviceangebot und genießen Sie als “Streit-Bonuskunde” viele Vorteile. Wir begrüßen Sie in einem inhabergeführten Geschäft, in dem viel Wert auf persönliche Beratung und Ihre individuellen Einkaufswünsche gelegt werden. Bei uns wird Bummeln und Shoppen zu einem wahren Erlebnis. Wir freuen uns darauf Ihnen bei der Auswahl Ihrer Wünsche hilfreich zur Seite stehen zu können.",1235177,,True
4f5061ac-3f49-325e-80e4-9a1474936ed6,Marandino,https://www.linkedin.com/company/marandino-ohg,"[Germany, Baden-württemberg, Karlsruhe, 38 Waldstraße, 76133]",,"Germany, Baden-württemberg, Karlsruhe, 38 Waldstraße, 76133",,"Shopify, Facebook, American Express, Google Font API, Open Graph, X-Content-Type-Options, Apple Pay, Hotjar, MasterCard, PushOwl, X-XSS-Protection, Ruby on Rails, VISA, PushOwl Web Push Notifications, Stimulus, Swym Wishlist Plus, PayPal, Shopify Chat, Facebook Pixel, Priority Hints, jsDelivr, Flickity, Shop Pay, Font Awesome, PWA, Envoy, Google Tag Manager, jQuery, CloudFlare, Google Analytics, reCAPTCHA, React, Ruby, core-js, Cart Functionality, Qikify, Back In Stock, OWL Carousel, YouTube, HTTP/3, Google Pay, Klaviyo, HSTS, Lucky Orange, Trusted Shops, Polyfill, cdnjs, MailChimp, Klarna Checkout, hCaptcha, Preact, Babel",Apparel & Fashion,Partnership,www.marandino.de,marandino.de,3,"Unser Team brennt für das was wir tun, immer mit Liebe zum Detail. Seit über 40 Jahren bietet das Multi-Brand-Konzept aus Karlsruhe Marken im mittleren bis oberen Preis-Segment in den Standorten Karlsruhe und Landau an. Marandino.de wird von unserem jungen Team mit frischen Ideen und neuen Technologien immer weiterentwickelt.",1252303,,True
6c9f8585-d621-3b9a-a874-73a179223a10,TrendMakeriet,https://www.linkedin.com/company/trendmakeriet,"[Germany, Bollebygd, 21a Göteborgsvägen, 51736]",,"Germany, Bollebygd, 21a Göteborgsvägen, 51736",,"Shopify, Cloudflare CDN, CloudFlare, Nuxt.js, jQuery, Google Pay, Cart Functionality, MySQL, HSTS, HTTP/3, Tailwind CSS, Klarna Checkout, Node.js, Vue.js, PHP, RSS, X-Content-Type-Options, PayPal, X-XSS-Protection, FlyWheel, Apple Pay, Fastly, Priority Hints, Flickity, American Express, VISA, WordPress, MasterCard, Open Graph",Apparel & Fashion,,trendmakeriet.se,trendmakeriet.se,4,,1252303,,True
89c59836-cf22-34ef-94a3-7df93fd2806a,Der Ritzler,https://www.linkedin.com/company/der-ritzler,"[Germany, Baden-württemberg, Karlsruhe, 33 Kreuzstr., 76133]",+4972166531882,"Germany, Baden-württemberg, Karlsruhe, 33 Kreuzstr., 76133",+4972166531882,"Shopify, Klarna, Apple Pay, Flickity, RSS, Shopify Chat, MasterCard, Priority Hints, GTranslate app, Shop Pay, X-Content-Type-Options, Reputon, VISA, X-XSS-Protection, American Express, Open Graph, PayPal, Google Analytics, Envoy, CloudFlare, jQuery, Microsoft Advertising, DHL, Boomerang, Babel, Preact, Klarna Checkout, BugSnag, HSTS, Microsoft Clarity, Google Pay, YouTube, HTTP/3, core-js, styled-components, jQuery CDN, Cart Functionality",Apparel & Fashion,,der-ritzler.de,der-ritzler.de,4,,1252303,,True
f27d2832-3d59-30db-81ee-f2a9f358a089,PAPALAPUB,https://www.linkedin.com/company/papalapub,[Germany],,Germany,,"Shopify, Klarna, DHL, Modernizr, Hammer.js, Klarna Checkout, AdRoll, AdRoll CMP System, Bootstrap, Cart Functionality, HTTP/3, BugSnag, Google Pay, YouTube, HSTS, Google Maps, VISA, Apple Pay, PayPal, X-XSS-Protection, X-Content-Type-Options, AOS, Priority Hints, Google Font API, Facebook Pixel, American Express, MasterCard, Shop Pay, Facebook, Open Graph, jQuery, reCAPTCHA, Envoy, CloudFlare, Google Analytics",Apparel & Fashion,Self Employed,www.pplpb.de,pplpb.de,3,"Im Jahr 2013 erweckte Sebastian Locher das Modelabel PAPALAPUB zum Leben, das er heute mit mit seinem Geschäftspartner Thomas Ghebrezghiher betreibt. Es steht für moderne und bezahlbare Fair Fashion, die im eigenen Online-Shop sowie in den Modehäusern von Schmid erhältlich ist. Die Shirts, Sweatshirts, Jacken und Accessoires werden dabei entweder aus 100% Biobaumwolle oder aus recycelten PET-Flaschen angefertigt. Die Herstellung erfolgt natürlich unter Fair Trade-Bestimmungen und selbstverständlich bei gerechter Entlohnung. Um dies zu gewährleisten, sind die Produzenten, mit denen PAPALAPUB zusammenarbeitet, beispielsweise nach GOTS (Global Organic Textile Standard) und Oeko-Tex zertifiziert. „Es ist gar nicht so einfach, moderne Stoffmuster in Kombination mit Bio-Qualität und Fair Trade zu bezahlbaren Preisen zu beziehen. Aber mittlerweile haben wir einen guten Überblick über den Markt“, erklärt Thomas Ghebrezghiher. „Trotzdem sind wir immer wieder auf der Suche nach weiteren Partnern mit neuen Ideen, um die Vielfalt von PAPALAPUB langfristig zu steigern“, ergänzt Sebastian Locher. Dies gilt natürlich auch für die Designs, denn das Auge ist beim Modekauf schließlich entscheidend. Neben der Umsetzung eigener Ideen soll deshalb in Zukunft noch stärker jungen Künstlern eine Plattform geboten werden. Beispielhaft etwa durch Zusammenarbeit mit Hochschulen oder freien Kreativen. Außerdem werden die Kollektionen von PAPALAPUB je nach Saison ergänzt, etwa um Tank-Tops im Sommer oder Jacken im Winter. Gleichzeitig baut das Label kontinuierlich die Vertriebsaktivitäten aus, um langfristig deutschlandweit im Handel erhältlich zu sein.",1252303,,True
7c803d12-aedb-3d45-a933-1feaed40928a,Ellima,https://www.linkedin.com/company/ellima,"[Germany, Berlin, Berlin, 11 Paul-robeson Straße, 10439]",,"Germany, Berlin, Berlin, 11 Paul-robeson Straße, 10439",,"Shopify, Open Graph, Automizely, X-Content-Type-Options, Shop Pay, PayPal, American Express, Apple Pay, X-XSS-Protection, DigitalOcean Spaces, Swym Wishlist Plus, Priority Hints, MasterCard, VISA, Google Hosted Libraries, Cloudflare Bot Management, BigCommerce, React, jQuery, Google Analytics, CloudFlare, Cart Functionality, Google Pay, Shogun Page Builder, HSTS, HTTP/3, jQuery CDN, Shogun Landing Page Builder, Preact, MobX, Klarna Checkout, MailChimp",Apparel & Fashion,,www.ellimaofficial.com,ellimaofficial.com,3,Handmade to order fashion made from deadstock and vintage materials,1252303,,True
efa07481-2a79-3770-b83b-b95e2c5f0ee4,VanWynn,https://www.linkedin.com/company/vanwynn,"[Germany, North Rhine-westphalia, Köln, 50823]",,"Germany, North Rhine-westphalia, Köln, 50823",,"Shopify, HSTS, HTTP/3, Cart Functionality, Bunny, Instafeed, Klarna Checkout, Covet.pics, Open Graph, PayPal, MasterCard, VISA, Priority Hints, jsDelivr, X-Content-Type-Options, X-XSS-Protection, Flickity, American Express, Envoy, CloudFlare",Apparel & Fashion,Privately Held,www.vanwynn.com,vanwynn.com,4,Fashion Accessoires for Business use,1252303,,True
91ca3f44-ffd1-3ffb-bfa8-85642c742978,SEELENlook,https://www.linkedin.com/company/seelenlook,"[Germany, North Rhine-westphalia, Soest, 1 Stiftstr., 59494]",,"Germany, North Rhine-westphalia, Soest, 1 Stiftstr., 59494",,"Shopify, Klarna, Modernizr, SiteGround, Vue.js, hCaptcha, Preact, PayPal Credit, Tailwind CSS, Babel, PHP, TikTok Pixel, Polyfill, Boomerang, Amazon S3, LiteSpeed, core-js, Microsoft Clarity, PayPal Marketing Solutions, Alpine.js, Klaviyo, Elementor, WooCommerce, CloudFlare, Vitals, jQuery, Google Analytics, LangShop, Amazon Web Services, Stimulus, X-Content-Type-Options, Swiper, Litespeed Cache, Google AdSense, Ruby on Rails, reCAPTCHA, Twitter Emoji (Twemoji), Font Awesome, Cloudflare CDN, Cloudflare Bot Management, Microsoft Advertising, Google Tag Manager, Shopware, Ruby, Apple Pay, Snowplow, Facebook, Mautic, Open Graph, American Express, Google Font API, VISA, Omnisend Email Marketing & SMS, RSS, WordPress, Omnisend, Shop Pay, PayPal, X-XSS-Protection, Facebook Pixel, MasterCard, Priority Hints, HSTS, Google Pay, jQuery Migrate, Cart Functionality, MySQL, Lightbox, HTTP/3",Apparel & Fashion,Self Employed,seelenlook.de,seelenlook.de,3,"Lagenlook Mode besonders schön. Seelenlook - Ihr Online-Shop und Boutique für Designer-Damenmode im Lagenlook. Größen von S/M bis 4XL. Geführte Labels: Absolut by Zebra, Aurea Vita, BORIS Industries, Champagne, D'celli, Elsewhere, Hebbeding, Jean Marc Philippe (JMP), Kamuflage, Kapris, Kekoo, Luba Moden, MAT Fashion, NÖR DENMARK, PRISA, Sarah Santos, Sinne Design, Turbulence, Ümit Ünal, Vincenzo Allocca, Yiannis Karitsiotis und mehr...",1252303,,True
1aac2936-514e-34e9-af14-eb1ab469f169,Nyra Design,https://www.linkedin.com/company/sincerely-design,"[Germany, Berlin, Berlin, Danzigerstr., 10435]",,"Germany, Berlin, Berlin, Danzigerstr., 10435",,"Shopify, Google Pay, HTTP/3, Deutsche Post, Cart Functionality, HSTS, Squarespace, Priority Hints, Google Font API, Hermes, VISA, American Express, PayPal, RSS, Facebook Pixel, Shop Pay, X-Content-Type-Options, Apple Pay, Open Graph, MasterCard, Facebook, X-XSS-Protection, Envoy, CloudFlare, Apache HTTP Server, Apache, Klarna Checkout, DHL, PHP, Kadence WP Blocks, Google Analytics, Font Awesome, JetPack, WooCommerce, jQuery, Yoast SEO, WordPress, Kadence WP Kadence, jQuery Mobile, jQuery Migrate, MySQL, Photo Gallery",Apparel & Fashion,Sole Proprietorship,www.nyra.design,nyra.design,3,"Consciously crafted everyday life products, locally handmade in Berlin.  Every product is crafted by hand, created with heart. #ModernCraftsStories",1252303,,True
f420124b-33ba-3993-9d06-29fb8b78964b,Koalagesicht,https://www.linkedin.com/company/jack-patburn,"[Germany, Berlin, Berlin, 8a Mühlenstraße, 14167]",,"Germany, Berlin, Berlin, 8a Mühlenstraße, 14167",,"Shopify, Printful, HTTP/3, jQuery CDN, Cart Functionality, Google Pay, HSTS, Amazon Pay, YouTube, Modernizr, Amazon S3, Klarna Checkout, Amazon Web Services, American Express, MasterCard, VISA, Open Graph, Facebook Pixel, X-Content-Type-Options, Priority Hints, X-XSS-Protection, Apple Pay, Facebook, GTranslate app, CloudFlare, Google Analytics, jQuery, Envoy",Apparel & Fashion,Privately Held,www.jack-patburn.com,jack-patburn.com,3,"Products from sustainable, organic cultivation. With every purchase from selected products, we donate 2 - 5 € to a social institution. Currently we donate to the German #Kinderhilfswerk to provide children with a warm meal.  koalagesicht and our suppliers:  ❤️ produce only what is ordered  ❤️ use environmentally friendly, skin-friendly and vegan inks  ❤️ use materials from organic cotton  ❤️ use fair trade products  ❤️ produce more and more with green electricity  ❤️ send more and more plastic-free  ❤️ send more and more climate neutral",1252303,,True
